,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvID,AdvID2,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner,EDITION,Unnamed: 0,FreeCirculation,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,Daily,SwapNotInclude,Swap2017Affected,CSDs,ID,ID2,first_year,equal_to_previous,FreeCircAllEds,PaidCircAllEds,TotalCircAllEds,EDITION2,_merge
10,ajax pickering news advertiser,53965.0,4.94,,1160.0,10.0,161.0,10.0,2016,2015.0,1.0,Wednesday,2,1,53957.5,4.94,,1160.0,ajax pickering news advertiser,both,,,,Wednesday,1326.0,52855.0,B,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,52855.0,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']",105724.0,99160.5,6.3,34867.5,34234.0,1091.35,149.275,38.85,85827.5,12385.0,24947.5,48490.0,2207.5,21225.0,85827.5,80970.0,37286.5,105085.0,65857.5,38745.0,"[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0.0,"['Ajax', 'Pickering']",308.0,262.0,2013.0,0.0,52844.0,0.0,52844.0,Wednesday,both
11,ajax pickering news advertiser,52855.0,4.94,,1160.0,10.0,161.0,10.0,2017,2016.0,1.0,Wednesday,2,1,52844.0,4.94,,1160.0,ajax pickering news advertiser,both,,,,Wednesday,1327.0,52609.333333333336,B,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,52609.333333333336,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']",105724.0,99160.5,6.3,34867.5,34234.0,1091.35,149.275,38.85,85827.5,12385.0,24947.5,48490.0,2207.5,21225.0,85827.5,80970.0,37286.5,105085.0,65857.5,38745.0,"[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0.0,"['Ajax', 'Pickering']",308.0,262.0,2013.0,1.0,52736.5,0.0,52736.5,Wednesday,both
12,ajax pickering news advertiser,53036.0,4.94,,1160.0,10.0,161.0,10.0,2018,2016.0,2.0,Wednesday,2,1,53020.25,4.94,,1160.0,ajax pickering news advertiser,both,,,,Wednesday,1328.0,52363.66666666666,B,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,52363.66666666666,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']",105724.0,99160.5,6.3,34867.5,34234.0,1091.35,149.275,38.85,85827.5,12385.0,24947.5,48490.0,2207.5,21225.0,85827.5,80970.0,37286.5,105085.0,65857.5,38745.0,"[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0.0,"['Ajax', 'Pickering']",308.0,262.0,2013.0,1.0,52629.0,0.0,52629.0,Wednesday,both
13,ajax pickering news advertiser,53217.0,4.94,,1160.0,10.0,161.0,10.0,2019,2018.0,1.0,Wednesday,2,1,53196.5,4.94,,1160.0,ajax pickering news advertiser,both,,,,Wednesday,1329.0,52118.0,B,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,52118.0,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']",105724.0,99160.5,6.3,34867.5,34234.0,1091.35,149.275,38.85,85827.5,12385.0,24947.5,48490.0,2207.5,21225.0,85827.5,80970.0,37286.5,105085.0,65857.5,38745.0,"[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0.0,"['Ajax', 'Pickering']",308.0,262.0,2013.0,0.0,52521.5,0.0,52521.5,Wednesday,both
14,alexandria glengarry news,5229.0,0.85,206.0,694.0,8.0,295.0,7.0,2013,2012.0,1.0,Wednesday,3,2,5229.0,0.85,206.0,694.0,alexandria glengarry news,both,,,,Wednesday,714.0,101.0,B,alexandria,glengarry news,glengarry news ltd.,5128.0,ON,5229.0,glengarry news ltd.,"['alexandria ,ON, Canada']",10109.0,10251.0,-1.4,4658.0,4316.0,15.7,643.46,46.5,8390.0,1870.0,2590.0,3925.0,200.0,1040.0,8390.0,8105.0,30792.0,9810.0,9140.0,625.0,"[(45.3112037, -74.6367573)]",,,,,,0.0,alexandria,0.0,0.0,0.0,['North Glengarry'],161.0,138.0,2013.0,0.0,101.0,5128.0,5229.0,Wednesday,both
15,alexandria glengarry news,4990.0,0.85,206.0,694.0,8.0,295.0,5,2014,2013.0,1.0,Wednesday,3,2,4990.0,0.85,206.0,694.0,alexandria glengarry news,both,,,,Wednesday,715.0,97.0,B,alexandria,glengarry news,glengarry news ltd.,4710.0,ON,4807.0,glengarry news ltd.,"['alexandria ,ON, Canada']",10109.0,10251.0,-1.4,4658.0,4316.0,15.7,643.46,46.5,8390.0,1870.0,2590.0,3925.0,200.0,1040.0,8390.0,8105.0,30792.0,9810.0,9140.0,625.0,"[(45.3112037, -74.6367573)]",,,,,,0.0,alexandria,0.0,0.0,0.0,['North Glengarry'],161.0,138.0,2013.0,0.0,97.0,4710.0,4807.0,Wednesday,both
16,alexandria glengarry news,4714.0,0.85,206.0,694.0,8.0,295.0,5.0,2015,2014.0,1.0,Wednesday,3,2,4714.0,0.85,206.0,694.0,alexandria glengarry news,both,,,,Wednesday,716.0,96.0,B,alexandria,glengarry news,glengarry news ltd.,4707.0,ON,4803.0,glengarry news ltd.,"['alexandria ,ON, Canada']",10109.0,10251.0,-1.4,4658.0,4316.0,15.7,643.46,46.5,8390.0,1870.0,2590.0,3925.0,200.0,1040.0,8390.0,8105.0,30792.0,9810.0,9140.0,625.0,"[(45.3112037, -74.6367573)]",,,,,,0.0,alexandria,0.0,0.0,0.0,['North Glengarry'],161.0,138.0,2013.0,0.0,96.0,4707.0,4803.0,Wednesday,both
17,alexandria glengarry news,4612.0,0.85,,694.0,8.0,295.0,5.0,2016,2015.0,1.0,Wednesday,3,2,4612.0,0.85,,694.0,alexandria glengarry news,both,,,,Wednesday,717.0,87.0,B,alexandria,glengarry news,glengarry news ltd.,4528.0,ON,4615.0,glengarry news ltd.,"['alexandria ,ON, Canada']",10109.0,10251.0,-1.4,4658.0,4316.0,15.7,643.46,46.5,8390.0,1870.0,2590.0,3925.0,200.0,1040.0,8390.0,8105.0,30792.0,9810.0,9140.0,625.0,"[(45.3112037, -74.6367573)]",,,,,,0.0,alexandria,0.0,0.0,0.0,['North Glengarry'],161.0,138.0,2013.0,0.0,87.0,4528.0,4615.0,Wednesday,both
18,alexandria glengarry news,4516.0,0.85,,694.0,8.0,295.0,5.0,2017,2015.0,2.0,Wednesday,3,2,4516.0,0.85,,694.0,alexandria glengarry news,both,,,,Wednesday,718.0,285.0,B,alexandria,glengarry news,glengarry news ltd.,4135.0,ON,4420.0,glengarry news ltd.,"['alexandria ,ON, Canada']",10109.0,10251.0,-1.4,4658.0,4316.0,15.7,643.46,46.5,8390.0,1870.0,2590.0,3925.0,200.0,1040.0,8390.0,8105.0,30792.0,9810.0,9140.0,625.0,"[(45.3112037, -74.6367573)]",,,,,,0.0,alexandria,0.0,0.0,0.0,['North Glengarry'],161.0,138.0,2013.0,0.0,285.0,4135.0,4420.0,Wednesday,both
19,alexandria glengarry news,4420.0,0.92,,694.0,8.0,295.0,5.0,2018,2017.0,1.0,Wednesday,3,2,4420.0,0.92,,694.0,alexandria glengarry news,both,,,,Wednesday,719.0,84.0,B,alexandria,glengarry news,glengarry news ltd.,4132.0,ON,4216.0,glengarry news ltd.,"['alexandria ,ON, Canada']",10109.0,10251.0,-1.4,4658.0,4316.0,15.7,643.46,46.5,8390.0,1870.0,2590.0,3925.0,200.0,1040.0,8390.0,8105.0,30792.0,9810.0,9140.0,625.0,"[(45.3112037, -74.6367573)]",,,,,,0.0,alexandria,0.0,0.0,0.0,['North Glengarry'],161.0,138.0,2013.0,0.0,84.0,4132.0,4216.0,Wednesday,both
20,alexandria glengarry news,4039.0,0.92,,694.0,8.0,295.0,5.0,2019,2018.0,1.0,Wednesday,3,2,4039.0,0.92,,694.0,alexandria glengarry news,both,,,,Wednesday,720.0,90.0,B,alexandria,glengarry news,glengarry news ltd.,3887.0,ON,3977.0,glengarry news ltd.,"['alexandria ,ON, Canada']",10109.0,10251.0,-1.4,4658.0,4316.0,15.7,643.46,46.5,8390.0,1870.0,2590.0,3925.0,200.0,1040.0,8390.0,8105.0,30792.0,9810.0,9140.0,625.0,"[(45.3112037, -74.6367573)]",,,,,,0.0,alexandria,0.0,0.0,0.0,['North Glengarry'],161.0,138.0,2013.0,0.0,90.0,3887.0,3977.0,Wednesday,both
21,alliston herald,22553.0,3.21,335.0,1160.0,10.0,175.0,10.0,2013,2012.0,1.0,Thursday,4,3,22553.0,3.21,335.0,1160.0,alliston herald,both,,,,Thursday,73.0,22127.0,T,alliston,alliston herald,metroland media group ltd.,0.0,ON,22127.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",,,,,,0.0,alliston,0.0,0.0,0.0,['New Tecumseth'],25.0,25.0,2013.0,0.0,11063.5,335.0,11398.5,Thursday,both
22,alliston herald,22127.0,3.51,1160.0,1160.0,10.0,161.0,10,2014,2013.0,1.0,Thursday,4,3,22127.0,3.51,1160.0,1160.0,alliston herald,both,,,,Thursday,74.0,22266.0,T,alliston,alliston herald,metroland media group ltd.,0.0,ON,22266.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",,,,,,0.0,alliston,0.0,0.0,0.0,['New Tecumseth'],25.0,25.0,2013.0,0.0,11133.0,0.0,22266.0,Thursday,both
23,alliston herald,22266.0,3.51,1160.0,1160.0,10.0,161.0,10.0,2015,2014.0,1.0,Thursday,4,3,22266.0,3.51,1160.0,1160.0,alliston herald,both,,,,Thursday,75.0,22403.0,T,alliston,alliston herald,metroland media group ltd.,0.0,ON,22403.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",,,,,,0.0,alliston,0.0,0.0,0.0,['New Tecumseth'],25.0,25.0,2013.0,0.0,11201.5,0.0,22403.0,Thursday,both
24,alliston herald,22403.0,3.51,,1160.0,10.0,161.0,10.0,2016,2015.0,1.0,Thursday,4,3,22403.0,3.51,,1160.0,alliston herald,both,,,,Thursday,76.0,22860.0,T,alliston,alliston herald,metroland media group ltd.,0.0,ON,22860.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",,,,,,0.0,alliston,0.0,0.0,0.0,['New Tecumseth'],25.0,25.0,2013.0,0.0,11430.0,0.0,22860.0,Thursday,both
25,alliston herald,22860.0,3.51,,1160.0,10.0,161.0,10.0,2017,2016.0,1.0,Thursday,4,3,22860.0,3.51,,1160.0,alliston herald,both,,,,Thursday,77.0,23199.0,T,alliston,alliston herald,metroland media group ltd.,0.0,ON,23199.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",,,,,,0.0,alliston,0.0,0.0,0.0,['New Tecumseth'],25.0,25.0,2013.0,0.0,23199.0,0.0,23199.0,Thursday,both
26,alliston herald,23199.0,3.51,,1160.0,10.0,161.0,10.0,2018,2017.0,1.0,Thursday,4,3,23199.0,3.51,,1160.0,alliston herald,both,,,,Thursday,78.0,23229.0,T,alliston,alliston herald,metroland media group ltd.,0.0,ON,23229.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",,,,,,0.0,alliston,0.0,0.0,0.0,['New Tecumseth'],25.0,25.0,2013.0,0.0,23229.0,0.0,23229.0,Thursday,both
27,alliston herald,22890.0,3.51,,1160.0,10.0,161.0,10.0,2019,2018.0,1.0,Thursday,4,3,22890.0,3.51,,1160.0,alliston herald,both,,,,Thursday,79.0,22879.0,T,alliston,alliston herald,metroland media group ltd.,0.0,ON,22879.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",,,,,,0.0,alliston,0.0,0.0,0.0,['New Tecumseth'],25.0,25.0,2013.0,0.0,22879.0,0.0,22879.0,Thursday,both
28,amherstburg river town times,8986.0,0.77,88.0,382.0,6.0,210.0,5.0,2013,2012.0,1.0,Wednesday,5,4,8986.0,0.77,88.0,382.0,amherstburg river town times,both,,,,Wednesday,1770.0,8985.0,T,amherstburg,river town times,river town times,0.0,ON,8985.0,river town times,"['amherstburg ,ON, Canada']",21936.0,21556.0,1.8,8951.0,8522.0,118.2,185.61,42.3,18095.0,3015.0,5845.0,9230.0,295.0,2950.0,18090.0,17285.0,39519.0,21655.0,19630.0,1995.0,"[(42.1013315, -83.1086458)]",river town times,,,,,0.0,amherstburg,0.0,0.0,0.0,['Amherstburg'],393.0,332.0,2013.0,0.0,8985.0,0.0,8985.0,Wednesday,both
29,amherstburg river town times,8985.0,0.79,88.0,382.0,6.0,210.0,5,2014,2013.0,1.0,Wednesday,5,4,8985.0,0.79,88.0,382.0,amherstburg river town times,both,,,,Wednesday,1771.0,9177.0,T,amherstburg,river town times,river town times,0.0,ON,9177.0,river town times,"['amherstburg ,ON, Canada']",21936.0,21556.0,1.8,8951.0,8522.0,118.2,185.61,42.3,18095.0,3015.0,5845.0,9230.0,295.0,2950.0,18090.0,17285.0,39519.0,21655.0,19630.0,1995.0,"[(42.1013315, -83.1086458)]",river town times,,,,,0.0,amherstburg,0.0,0.0,0.0,['Amherstburg'],393.0,332.0,2013.0,0.0,9177.0,0.0,9177.0,Wednesday,both
